"id","PCC","AgencyName","GDSGroup","GDS","IATA","TVPNewBusinessExecutive","TVPAccountManagerExecutive","BusinessType","City","UF","Region","MIDT","TSO2013","TSO2014","TSO2015","TSO12Months"
"8UTB5752440","8UTB","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","473","          -   ","          -   ","          -   ","  "
"1YIG9999999","1YIG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","RECIFE","PE","NORDESTE","354","          -   ","          -   ","          -   ","  "
"2VRF5752440","2VRF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","389","          -   ","          -   ","          -   ","  "
"PT6F5752440","PT6F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","565","          -   ","          -   ","          -   ","  "
"75SG9999999","75SG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","RIBEIRAO PRETO","SP","SUDESTE","478","          -   ","          -   ","          -   ","  "
"P8XG9999999","P8XG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","RIO DE JANEIRO","RJ","SUDESTE","579","          -   ","          -   ","          -   ","  "
"C3RH9999999","C3RH","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","SOROCABA","SP","SUDESTE","514","          -   ","          -   ","          -   ","  "
"3MVF5752440","3MVF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","156","          -   ","          -   ","          -   ","  "
"78OF9999999","78OF","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","SAO PAULO","SP","SUDESTE","436","          -   ","          -   ","          -   ","  "
"UE0F5752440","UE0F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","536","          -   ","          -   ","          -   ","  "
"2XSF5752440","2XSF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","596","          -   ","          -   ","          -   ","  "
"C31G9999999","C31G","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","VITORIA","ES","SUDESTE","482","          -   ","          -   ","          -   ","  "
"35QC5752440","35QC","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","452","          -   ","          -   ","          -   ","  "
"76IG9999999","76IG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","CARUARU","PE","NORDESTE","557","          -   ","          -   ","          -   ","  "
"JG6F5752440","JG6F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","398","          -   ","          -   ","          -   ","  "
"9KCF5752440","9KCF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","533","          -   ","          -   ","          -   ","  "
"8R0F5752440","8R0F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","568","          -   ","          -   ","          -   ","  "
"F8MH9999999","F8MH","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","RIO DE JANEIRO","RJ","SUDESTE","639","","          -   ","          -   ",""
"EQ8G5752440","EQ8G","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","560","          -   ","          -   ","          -   ","  "
"06PC5752440","06PC","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","607","          -   ","          -   ","          -   ","  "
"M7CG9999999","M7CG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","MAIRIPORA","SP","SUDESTE","332","          -   ","          -   ","          -   ","  "
"2I3F5752440","2I3F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","346","          -   ","          -   ","          -   ","  "
"0XFF5752440","0XFF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","446","          -   ","          -   ","          -   ","  "
"K1MH9999999","K1MH","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","GUARAPARI","ES","SUDESTE","481","","          -   ","          -   ",""
"27UG9999999","27UG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","RECIFE","PE","NORDESTE","801","          -   ","          -   ","          -   ","  "
"80YC5752440","80YC","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","401","          -   ","          -   ","          -   ","  "
"28BG9999999","28BG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","PARNAIBA","PI","NORDESTE","634","","          -   ","          -   ",""
"4HEF5752440","4HEF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","342","          -   ","          -   ","          -   ","  "
"KR275752440","KR27","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","210","          -   ","          -   ","          -   ","  "
"1QKG9999999","1QKG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","VILA VELHA","ES","SUDESTE","753","          -   ","          -   ","          -   ","  "
"28GF5752440","28GF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","184","          -   ","          -   ","          -   ","  "
"5DBB5752440","5DBB","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","481","          -   ","          -   ","          -   ","  "
"0XGF5752440","0XGF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","721","          -   ","          -   ","          -   ","  "
"D7EG9999999","D7EG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","VARGINHA","MG","SUDESTE","442","          -   ","          -   ","          -   ","  "
"9SUC5752440","9SUC","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","446","          -   ","          -   ","          -   ","  "
